Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group,Band gap (PBE) [eV],Band gap (G₀W₀) [eV],Band gap (HSE06) [eV] ▲,Direct band gap (PBE) [eV],Direct band gap (G₀W₀) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM (vs. avg. vacuum) (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Stoichiometry,Vacuum level [eV]
Co2S2Cl2,0.0,-0.567,0,pmmn,0.008,,0.29,0.008,,0.29,-6.207,-6.211,,-6.215,-31.585,0.0,0.0,ABC,3.9
Ir2Sb2Te6,0.061,-0.194,0,p-31m,0.325,,0.291,0.325,,0.291,-4.314,-4.477,,-4.639,-48.531,0.0,0.0,ABC3,3.995
In2Te6Ni4,0.056,-0.196,0,p-3m1,0.287,,0.293,0.37,,0.293,-4.23,-4.373,,-4.517,-56.097,0.0,0.0,AB2C3,1.854
ReNiCuBr8,0.0,-0.316,1,p-1,0.0,,0.294,0.0,,0.418,,-5.812,,,-38.733,-4.534,4.057,ABCD8,2.733
NiSe2,0.0,-0.258,0,p-3m1,0.06,,0.299,0.614,,0.938,-4.816,-4.846,,-4.876,-14.987,0.0,0.0,AB2,3.541
Ag2I8Cu2,0.043,-0.111,1,p-1,0.118,,0.303,0.149,,0.303,-5.474,-5.533,,-5.592,-26.186,0.797,-9.056,ABC4,1.655
Nb4Ge2Se8,0.009,-0.776,0,pbam,0.287,,0.331,0.329,,0.477,-4.503,-4.646,,-4.79,-89.059,0.0,0.0,AB2C4,2.313
Te6Sc2As2,0.077,-0.549,0,p31m,0.1,,0.332,0.35,,0.618,-4.499,-4.549,,-4.599,-43.362,0.0,0.0,ABC3,3.681
Tl2Pb2As2,0.0,-0.017,0,pm2_1n,0.0,,0.335,0.0,,0.461,,-3.522,,,-21.943,0.0,0.0,ABC,2.987
Ir2Te6As2,0.045,-0.207,0,p-31m,0.336,,0.336,0.336,,0.336,-4.328,-4.496,,-4.664,-49.173,0.0,0.0,ABC3,3.942
BiTeCuSe,0.077,-0.16,0,p3m1,0.0,,0.339,0.0,,0.382,,-4.863,,,-15.679,0.0,0.0,ABCD,3.793
Nb4Ni2S10,0.0,-0.94,0,p112/a,0.078,,0.343,0.093,,0.343,-5.481,-5.52,,-5.558,-111.613,0.0,0.0,AB2C5,2.073
Sn2Te6,0.096,-0.043,0,p2_111,0.148,,0.346,0.266,,0.439,-4.646,-4.72,,-4.794,-27.687,0.0,0.0,AB3,4.423
Bi4,0.096,0.096,0,pm2_1n,0.151,,0.346,0.186,,0.522,-3.664,-3.739,,-3.815,-18.315,0.0,0.0,A,3.658
Tl2Te6Si2,0.091,-0.055,0,p-31m,0.043,,0.353,0.258,,0.574,-4.964,-4.986,,-5.008,-35.574,0.0,0.0,ABC3,2.064
Bi2SnTe4,0.0,-0.247,0,p-3m1,0.014,,0.36,0.215,,0.473,-5.075,-5.082,,-5.089,-27.95,0.0,0.0,AB2C4,3.55
Cu2As2Se4,0.058,-0.089,0,pm2_1b,0.186,,0.361,0.311,,0.546,-4.426,-4.519,,-4.612,-31.324,0.0,0.0,ABC2,2.031
Ta4Sn2Te8,0.004,-0.352,0,pbam,0.248,,0.362,0.248,,0.412,-4.071,-4.195,,-4.319,-77.943,0.0,0.0,AB2C4,2.45
In2Sn2Te2,0.01,-0.223,0,p-3m1,0.011,,0.371,0.011,,0.371,-4.557,-4.563,,-4.568,-21.389,0.0,0.0,ABC,2.924
Te2CoNiSeBr,0.049,-0.259,0,pm11,0.013,,0.372,0.229,,0.981,-4.893,-4.899,,-4.906,-28.506,0.0,0.0,ABCDE2,3.61
GeSe2,0.129,-0.137,0,p-3m1,0.0,,0.378,0.0,,0.948,,-5.622,,,-11.892,0.0,0.0,AB2,3.738
Ge2F2,0.159,-1.467,0,p-3m1,0.118,0.35,0.38,0.149,0.35,0.38,-7.068,-7.127,,-7.187,-18.073,0.0,0.0,AB,2.659
TeI5CrMn,0.081,-0.308,1,p1,0.078,,0.402,0.232,,0.634,-5.155,-5.194,,-5.233,-32.186,-2.934,2.237,ABCD5,3.234
Pt2I2,0.026,-0.1,0,p-3m1,0.355,,0.404,0.627,,0.739,-3.875,-4.053,,-4.23,-16.064,0.0,0.0,AB,4.636
Nb4Ni6Se10,0.0,-0.649,0,pmmn,0.104,,0.406,0.107,,0.406,-4.676,-4.728,,-4.78,-132.606,0.0,0.0,A2B3C5,2.235
Te2I2As2,0.066,-0.057,0,cm11,0.184,,0.417,0.184,,0.417,-5.034,-5.126,,-5.218,-19.037,0.0,0.0,ABC,3.253
Bi2As2,0.072,0.072,0,p2/m11,0.209,,0.417,0.363,,0.445,-3.722,-3.826,,-3.931,-18.385,0.0,0.0,AB,3.262
