Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group,Band gap (PBE) [eV],Band gap (G₀W₀) [eV],Band gap (HSE06) [eV] ▲,Direct band gap (PBE) [eV],Direct band gap (G₀W₀) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM (vs. avg. vacuum) (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Stoichiometry,Vacuum level [eV]
Se2Al2Cl2,0.013,-1.16,0,p3m1,3.268,,4.455,3.268,,4.455,-3.87,-5.504,,-7.138,-24.973,0.0,0.0,ABC,2.921
Na2O2H2,0.0,-1.365,0,p4/nmm,2.802,,4.458,2.802,,4.458,-1.34,-2.742,,-4.143,-27.7,0.0,0.0,ABC,0.603
Ge2Cl2O3,0.064,-1.329,0,cm11,3.006,,4.462,3.006,,4.462,-4.801,-6.304,,-7.807,-37.28,0.0,0.0,A2B2C3,2.94
Sr2Sn4Cl12,0.022,-1.491,0,p-1,3.575,,4.466,3.577,,4.466,-2.706,-4.494,,-6.281,-67.835,0.0,0.0,AB2C6,2.004
Sb4Li4O8,0.003,-1.678,0,p2_1/b11,3.297,,4.47,3.523,,4.749,-2.155,-3.804,,-5.452,-93.029,0.0,0.0,ABC2,1.949
V4O10,0.0,-2.277,0,pmmn,2.062,,4.472,2.339,,4.746,-6.722,-7.753,,-8.784,-117.223,0.0,0.0,A2B5,1.331
Tl4F4,0.017,-1.807,0,p2_1/m11,3.362,,4.474,3.545,,4.645,-2.204,-3.885,,-5.566,-30.79,0.0,0.0,AB,2.502
ZrNiCl6,0.003,-1.386,1,p312,1.598,,4.484,1.598,,4.539,-5.509,-6.308,,-7.107,-36.451,-0.035,-0.032,ABC6,2.869
I2Na2,0.042,-1.254,0,p4/nmm,3.592,,4.486,3.592,,4.486,-2.267,-4.063,,-5.859,-10.588,0.0,0.0,AB,2.481
NiClF,0.063,-1.129,1,p3m1,1.223,,4.493,1.311,,4.826,-5.653,-6.265,,-6.877,-14.007,-0.035,-0.039,ABC,1.469
Y2S2Cl2,0.111,-2.137,0,p-3m1,3.328,,4.498,3.383,,4.604,-3.271,-4.935,,-6.599,-33.93,0.0,0.0,ABC,2.613
K2O2H2,0.013,-1.356,0,p4/nmm,2.867,,4.501,2.867,,4.501,-1.146,-2.58,,-4.013,-27.469,0.0,0.0,ABC,0.817
ZnBr2,0.0,-0.924,0,p-4m2,3.272,6.366,4.507,3.272,6.366,4.507,-3.622,-5.258,,-6.894,-7.124,0.0,0.0,AB2,2.324
I6Mg2Li2,0.053,-1.097,0,p-31m,3.565,,4.514,3.565,,4.514,-2.37,-4.153,,-5.935,-26.856,0.0,0.0,ABC3,2.903
Zn2Br2Cl2,0.011,-1.044,0,pmm2,3.279,,4.521,3.279,,4.521,-3.6,-5.24,,-6.879,-15.37,0.0,0.0,ABC,2.394
HfNiCl6,0.0,-1.395,1,p312,1.62,,4.523,1.62,,4.576,-5.488,-6.298,,-7.108,-36.627,-0.035,-0.032,ABC6,2.885
PbK2O6H6,0.005,-1.201,0,p-3,3.076,,4.535,3.087,,4.535,-2.801,-4.339,,-5.877,-74.903,0.0,0.0,AB2C6D6,0.878
Hg4Rb2S2Cl6O6,0.029,-1.123,0,pm2_1n,3.315,,4.545,3.39,,4.611,-4.345,-6.003,,-7.66,-77.435,0.0,0.0,ABC2D3E3,2.46
Mo2Te2Zn2O12,0.007,-1.621,0,p2_12_12,3.118,,4.549,3.161,,4.761,-4.854,-6.413,,-7.972,-121.855,0.0,0.0,ABCD6,2.818
Ta2W2O11,0.0,-2.539,0,p-3m1,2.748,,4.549,2.752,,4.554,-6.108,-7.482,,-8.856,-137.061,0.0,0.0,A2B2C11,2.293
MgS2H2,0.033,-0.656,0,p-3m1,3.508,,4.552,3.508,,4.552,-1.448,-3.202,,-4.956,-19.701,0.0,0.0,AB2C2,1.994
Si4S8,0.01,-0.661,0,p2_1/b11,3.428,,4.553,3.585,,4.715,-3.179,-4.893,,-6.607,-62.149,0.0,0.0,AB2,1.575
Li2N2O6H4,0.07,-1.024,0,p11a,2.637,,4.555,2.684,,4.616,-3.377,-4.695,,-6.014,-78.867,0.0,0.0,ABC2D3,1.233
Te5Sc2O13,0.044,-1.694,0,p1,3.167,,4.559,3.169,,4.564,-2.829,-4.413,,-5.997,-125.836,0.0,0.0,A2B5C13,1.46
Ba2Sb4O8,0.0,-1.9,0,p2_1/m11,3.414,,4.562,3.521,,4.692,-1.959,-3.666,,-5.373,-88.873,0.0,0.0,AB2C4,2.376
ZnBr2,0.08,-0.843,0,p-3m1,3.353,5.864,4.563,3.381,5.864,4.583,-3.587,-5.263,,-6.939,-6.883,0.0,0.0,AB2,2.966
I4KAlO12,0.031,-0.683,0,p-1,3.107,,4.572,3.107,,4.61,-3.996,-5.55,,-7.103,-84.661,0.0,0.0,ABC4D12,2.051
Ga2BrCl5,0.022,-1.038,0,cm11,3.333,,4.579,3.38,,4.624,-4.243,-5.91,,-7.577,-24.618,0.0,0.0,AB2C5,2.804
Co2F6,0.0,-1.89,0,p-31m,1.246,,4.58,1.289,,4.58,-6.657,-7.28,,-7.903,-41.101,0.0,0.0,AB3,2.376
Na2S2H2,0.004,-0.709,0,p4/nmm,3.56,,4.588,3.56,,4.588,-1.654,-3.434,,-5.214,-21.675,0.0,0.0,ABC,1.096
I2Na2S4H8,0.014,-0.445,0,c2/m11,3.615,,4.591,3.615,,4.591,-1.801,-3.609,,-5.416,-55.6,0.0,0.0,ABC2D4,1.043
I2K2,0.063,-1.456,0,p4/nmm,3.709,,4.592,3.709,,4.592,-1.742,-3.597,,-5.451,-11.221,0.0,0.0,AB,2.405
Cu2Br6Mg2,0.018,-1.023,0,p-31m,2.476,,4.596,2.476,,4.596,-3.196,-4.434,,-5.673,-30.326,0.0,0.0,ABC3,2.935
I2Na2O4H8,0.023,-1.121,0,p-1,3.591,,4.596,3.602,,4.608,-2.338,-4.133,,-5.929,-70.605,0.0,0.0,ABC2D4,1.156
Tl2Cl2,0.059,-0.965,0,c2/m11,3.629,,4.598,3.699,,4.698,-2.057,-3.872,,-5.687,-12.427,0.0,0.0,AB,2.0
Bi2As2O8,0.06,-1.247,0,p2_1/m11,3.07,,4.6,3.08,,4.6,-3.572,-5.107,,-6.642,-74.639,0.0,0.0,ABC4,1.459
Cd4Cl8,0.038,-1.079,0,pmmn,3.359,,4.606,3.359,,4.606,-4.742,-6.422,,-8.101,-30.942,0.0,0.0,AB2,3.244
Ba2I4,0.043,-1.794,0,pmmn,3.633,,4.607,3.678,,4.661,-2.565,-4.382,,-6.199,-20.335,0.0,0.0,AB2,2.995
Te4S2O14,0.026,-1.169,0,pm2_1n,3.194,,4.609,3.207,,4.647,-5.013,-6.61,,-8.207,-116.085,0.0,0.0,AB2C7,2.085
Mo2Te2Mg2O12,0.004,-1.951,0,p2_12_12,3.167,,4.611,3.257,,4.756,-4.837,-6.421,,-8.004,-128.662,0.0,0.0,ABCD6,2.797
Rb2I2,0.137,-1.397,0,p4/nmm,3.714,,4.613,3.714,,4.613,-1.842,-3.699,,-5.556,-10.364,0.0,0.0,AB,1.287
ZnBrCl,0.088,-0.967,0,p3m1,3.418,,4.615,3.418,,4.615,-3.518,-5.227,,-6.936,-7.455,0.0,0.0,ABC,2.972
Ca2Cl4O8,0.181,-0.861,0,p4/nbm,2.819,,4.623,2.864,,4.669,-2.114,-3.523,,-4.932,-64.215,0.0,0.0,AB2C4,1.528
Sb4O6,0.053,-1.308,0,p-4,3.414,,4.624,3.416,,4.627,-2.478,-4.185,,-5.892,-61.453,0.0,0.0,A2B3,0.976
I4Ca2,0.071,-1.595,0,pmmn,3.45,,4.652,3.528,,4.721,-2.793,-4.518,,-6.243,-19.508,0.0,0.0,AB2,3.048
PtLi2O6H6,0.042,-1.172,0,p-3,2.833,,4.67,2.837,,4.67,-1.662,-3.079,,-4.495,-78.4,0.0,0.0,AB2C6D6,0.949
PtNa2O6H6,0.0,-1.142,0,p-3,2.835,,4.674,2.838,,4.675,-1.775,-3.192,,-4.61,-76.794,0.0,0.0,AB2C6D6,0.884
Sb4O6,0.0,-1.362,0,pm2_1n,3.528,,4.675,3.576,,4.726,-1.808,-3.572,,-5.336,-61.988,0.0,0.0,A2B3,1.895
Pb2As2O6F2,0.059,-1.526,0,p11a,3.334,,4.677,3.342,,4.677,-3.951,-5.618,,-7.285,-69.075,0.0,0.0,ABCD3,1.891
I6Ca2Na2,0.059,-1.459,0,p-31m,3.782,,4.679,3.782,,4.679,-2.062,-3.953,,-5.844,-30.097,0.0,0.0,ABC3,2.551
PtK2O6H6,0.0,-1.152,0,p-3,2.843,,4.68,2.849,,4.681,-1.642,-3.064,,-4.485,-76.763,0.0,0.0,AB2C6D6,0.912
MnClF,0.088,-1.63,1,pmm2,2.261,,4.68,2.415,,4.68,-3.816,-4.946,,-6.076,-17.978,0.015,-0.044,ABC,1.085
Cu2Cl2C2O2,0.119,-0.613,0,pm2_1n,2.508,,4.689,2.769,,5.038,-3.252,-4.506,,-5.76,-44.514,0.0,0.0,ABCD,1.553
Se2Al2Cl2,0.009,-1.164,0,pm2_1n,3.662,,4.701,3.662,,4.701,-3.999,-5.83,,-7.662,-24.994,0.0,0.0,ABC,2.904
Mn2Cl2F2,0.075,-1.643,1,pm2_1n,2.012,,4.702,2.241,,4.702,-3.943,-4.949,,-5.955,-36.035,0.113,0.013,ABC,2.638
Ga4S4Cl4,0.0,-0.902,0,p2_1/b11,3.512,,4.705,3.546,,4.72,-4.194,-5.95,,-7.706,-45.894,0.0,0.0,ABC,1.633
Pb2Cl2F2,0.081,-1.786,0,pm2_1n,3.548,,4.706,3.572,,4.716,-3.422,-5.196,,-6.97,-24.977,0.0,0.0,ABC,2.516
Ga2S2F2,0.079,-1.493,0,pm2_1n,3.546,,4.706,3.546,,4.706,-5.066,-6.839,,-8.612,-26.094,0.0,0.0,ABC,1.665
Ba2I2Cl2,0.034,-2.19,0,p4/nmm,3.69,,4.709,3.693,,4.709,-2.695,-4.54,,-6.385,-23.322,0.0,0.0,ABC,2.532
I2Ca2H2,0.0,-1.154,0,p4/nmm,3.628,,4.709,3.628,,4.933,-2.654,-4.468,,-6.282,-20.554,0.0,0.0,ABC,2.35
Tl4F4,0.0,-1.824,0,pbma,3.571,,4.709,3.606,,4.807,-2.227,-4.013,,-5.798,-30.928,0.0,0.0,AB,2.598
Sr2I6Na2,0.055,-1.509,0,p-31m,3.815,,4.712,3.815,,4.712,-2.199,-4.106,,-6.014,-29.921,0.0,0.0,ABC3,2.523
Se4Br4Al4,0.0,-1.005,0,p2_1/b11,3.639,,4.724,3.639,,4.724,-3.3,-5.119,,-6.939,-47.281,0.0,0.0,ABC,1.668
I2Li2O4H8,0.0,-1.137,0,p-1,3.719,,4.725,3.747,,4.755,-2.384,-4.243,,-6.103,-72.029,0.0,0.0,ABC2D4,1.303
Sb4Na4O8,0.0,-1.561,0,p2_1/b11,3.522,,4.726,3.669,,4.903,-1.953,-3.714,,-5.475,-88.827,0.0,0.0,ABC2,1.898
Na2N2O6H4,0.066,-0.978,0,p11a,2.794,,4.733,2.873,,4.816,-2.563,-3.96,,-5.357,-77.059,0.0,0.0,ABC2D3,1.06
Tl2F6,0.005,-1.904,0,p-31m,3.046,,4.74,3.101,,4.836,-6.776,-8.299,,-9.822,-29.745,0.0,0.0,AB3,2.145
Mn2Br6Li2,0.04,-1.056,1,p-31m,2.03,,4.745,2.033,,4.81,-3.544,-4.559,,-5.574,-43.284,0.048,0.049,ABC3,2.579
Sb4Na4O8,0.0,-1.561,0,pb2_1a,3.541,,4.747,3.68,,4.919,-1.937,-3.708,,-5.478,-88.83,0.0,0.0,ABC2,1.85
Ga2O2F2,0.0,-2.229,0,pmmn,3.152,,4.755,3.152,,4.755,-5.175,-6.751,,-8.327,-32.605,0.0,0.0,ABC,3.03
Cs2I2F8,0.0,-1.978,0,p4/mbm,3.294,,4.762,3.294,,4.762,-4.18,-5.827,,-7.474,-41.057,0.0,0.0,ABC4,1.24
Sb4As2O12H2,0.024,-1.281,0,p2_111,3.522,,4.765,3.525,,4.768,-3.002,-4.763,,-6.523,-120.708,0.0,0.0,ABC2D6,1.395
Y2Br2O2,0.003,-2.995,0,p-3m1,3.492,,4.776,4.072,,5.218,-3.612,-5.358,,-7.104,-40.773,0.0,0.0,ABC,2.946
BaS2H2,0.015,-0.966,0,p-3m1,3.774,,4.778,3.774,,4.778,-1.436,-3.323,,-5.21,-21.465,0.0,0.0,AB2C2,2.041
Ba2Br2H2,0.041,-1.439,0,p4/nmm,3.677,,4.78,3.849,,4.947,-2.559,-4.397,,-6.236,-22.111,0.0,0.0,ABC,2.227
I2K2,0.134,-1.385,0,p4/nmm,3.885,,4.784,3.885,,4.784,-1.904,-3.847,,-5.789,-10.937,0.0,0.0,AB,1.336
W2Te2Zn2O12,0.032,-1.673,0,p2_12_12,3.405,,4.792,3.452,,4.95,-4.741,-6.443,,-8.146,-123.346,0.0,0.0,ABCD6,2.907
Sr2S6H8,0.004,-0.673,0,pm2_1b,3.721,,4.8,3.727,,4.8,-2.14,-4.001,,-5.861,-65.188,0.0,0.0,AB3C4,1.549
I2Ca,0.0,-1.666,0,p-3m1,3.537,6.92,4.812,4.111,7.189,5.274,-2.821,-4.589,,-6.358,-9.967,0.0,0.0,AB2,3.062
YCuCl4,0.03,-1.683,0,p-1,2.322,,4.813,2.433,,4.903,-3.692,-4.853,,-6.014,-25.609,0.0,0.0,ABC4,2.574
Sc2Br6,0.0,-1.779,0,p-31m,2.975,,4.822,3.117,,4.988,-4.172,-5.659,,-7.147,-33.061,0.0,0.0,AB3,2.713
Ba2Cl2H2,0.056,-1.574,0,p4/nmm,3.747,,4.823,3.801,,4.845,-2.363,-4.237,,-6.11,-23.317,0.0,0.0,ABC,2.189
Sr2Ge4Cl12,0.0,-1.371,0,p-1,3.829,,4.825,3.829,,4.825,-2.785,-4.699,,-6.613,-67.51,0.0,0.0,AB2C6,1.95
Cd4Cl8,0.039,-1.078,0,pbma,3.474,,4.827,3.474,,4.827,-4.411,-6.148,,-7.884,-30.93,0.0,0.0,AB2,2.54
Se2Al2Cl2,0.002,-1.171,0,pm2_1n,3.767,,4.835,3.767,,4.835,-3.846,-5.73,,-7.613,-25.039,0.0,0.0,ABC,1.865
MnCl2,0.0,-1.06,1,p-3m1,1.797,5.398,4.836,1.887,5.564,4.966,-4.501,-5.4,,-6.299,-16.467,-0.018,-0.018,AB2,2.987
As2Se2O10H2,0.023,-0.916,0,p2_111,3.224,,4.841,3.253,,4.95,-5.06,-6.672,,-8.284,-88.84,0.0,0.0,ABCD5,1.915
Mo2Zn2O8,0.054,-1.845,0,p112/a,2.915,,4.853,3.062,,4.948,-4.693,-6.151,,-7.608,-87.906,0.0,0.0,ABC4,2.059
Sb4K4O8,0.001,-1.564,0,p2_1/b11,3.569,,4.853,3.671,,4.897,-1.629,-3.414,,-5.198,-88.514,0.0,0.0,ABC2,1.684
Te2As2O10H2,0.0,-1.114,0,p2_111,3.389,,4.857,3.44,,4.89,-4.483,-6.178,,-7.872,-91.45,0.0,0.0,ABCD5,2.058
GeO2,0.152,-1.496,0,p-4m2,3.006,6.731,4.863,3.182,6.874,4.971,-5.388,-6.891,,-8.395,-19.252,0.0,0.0,AB2,2.663
W2Te2Mg2O12,0.028,-2.003,0,p2_12_12,3.464,,4.867,3.524,,4.982,-4.71,-6.442,,-8.174,-130.159,0.0,0.0,ABCD6,2.888
SiCH2,0.062,-0.148,0,p3m1,3.781,6.355,4.871,3.781,6.355,4.871,-1.598,-3.489,,-5.38,-21.859,0.0,0.0,ABC2,2.163
BaI2,0.021,-1.816,0,p-3m1,3.873,,4.874,4.082,,5.101,-2.668,-4.604,,-6.541,-10.232,0.0,0.0,AB2,2.945
I2Na2,0.085,-1.212,0,p4/nmm,3.961,,4.881,4.001,,4.922,-2.457,-4.437,,-6.418,-10.418,0.0,0.0,AB,1.761
Sr2I2H2,0.0,-1.207,0,p4/nmm,3.827,,4.888,3.891,,4.953,-2.505,-4.419,,-6.332,-20.198,0.0,0.0,ABC,2.337
K2O2H2,0.04,-1.329,0,p4/nmm,3.26,,4.89,3.26,,4.89,-1.355,-2.985,,-4.615,-27.31,0.0,0.0,ABC,1.014
Ag2Mg2Cl6,0.006,-1.302,0,p-31m,3.396,,4.903,3.396,,4.903,-3.475,-5.173,,-6.871,-32.645,0.0,0.0,ABC3,2.884
Ba2I2F2,0.001,-2.962,0,p4/nmm,3.9,,4.907,3.9,,4.907,-2.578,-4.528,,-6.478,-27.557,0.0,0.0,ABC,2.732
Ca2S6H8,0.034,-0.646,0,pm2_1b,3.591,,4.911,3.591,,4.911,-2.206,-4.001,,-5.797,-65.429,0.0,0.0,AB3C4,1.575
Cr3Se6,0.054,-0.432,0,p31m,0.478,,1.158,0.478,,1.162,-4.76,-4.999,,-5.238,-53.011,0.0,0.0,AB2,4.363
Te6Cr3,0.029,-0.185,1,p31m,0.0,,,0.0,,,,-5.042,,,-49.123,2.148,2.161,AB2,4.143
PdZnSe6P2,0.075,-0.208,1,p312,0.065,,0.796,0.126,,0.925,-4.804,-4.836,,-4.868,-38.706,0.484,0.486,ABC2D6,3.77
Fe3Se6,0.068,-0.292,0,p31m,0.312,,1.362,0.368,,1.436,-4.991,-5.147,,-5.303,-50.652,0.0,0.0,AB2,4.028
Te6Fe3,0.094,-0.1,0,p31m,0.083,,0.687,0.134,,0.949,-4.714,-4.755,,-4.797,-47.249,0.0,0.0,AB2,4.289
Mn3Cl6,0.039,-1.021,1,c211,1.91,,4.962,1.932,,4.971,-4.377,-5.332,,-6.287,-49.05,-0.118,-0.097,AB2,1.973
Ag2Cr2P4S12,0.0,-0.363,1,p2/b11,0.997,,2.715,1.012,,2.715,-5.043,-5.541,,-6.04,-102.151,-0.09,0.012,ABC2D6,2.01
I6Mn3,0.005,-0.415,1,c211,1.294,,3.839,1.319,,3.852,-4.338,-4.985,,-5.632,-41.753,-0.161,0.511,AB2,2.319
Nb3Te6,0.0,-0.46,0,c2/m11,0.0,,,0.0,,,,-4.711,,,-54.35,0.0,0.0,AB2,2.466
Pt3Bi6,0.102,-0.174,0,p31m,0.0,,,0.0,,,,-3.832,,,-48.672,0.0,0.0,AB2,2.194
Ta3Te6,0.015,-0.37,0,c2/m11,0.0,,,0.0,,,,-4.694,,,-52.012,0.0,0.0,AB2,2.497
Ag4Cl8,0.004,-0.36,0,p2/b11,0.168,,0.971,0.278,,1.043,-6.72,-6.804,,-6.888,-29.959,0.0,0.0,AB2,1.38
Ag4Cl8,0.08,-0.284,0,p11a,0.255,,0.778,0.318,,0.778,-7.257,-7.385,,-7.512,-29.047,0.0,0.0,AB2,2.446
Sb4As2O12H2,0.024,-1.281,0,p2_111,3.522,,4.765,3.525,,4.768,-3.002,-4.763,,-6.523,-120.708,0.0,0.0,ABC2D6,1.395
Ag4F8,0.017,-1.229,0,p2/b11,0.325,,1.637,0.325,,1.637,-6.978,-7.14,,-7.303,-38.801,0.0,0.0,AB2,1.023
Au4F8,0.014,-0.92,0,p2/b11,0.235,,1.286,0.424,,1.482,-6.736,-6.853,,-6.97,-36.258,0.0,0.0,AB2,1.214
Au4I8,0.034,-0.032,0,p2/b11,0.358,,0.88,0.394,,0.901,-5.204,-5.383,,-5.562,-24.731,0.0,0.0,AB2,1.58
Cd4Cl8,0.038,-1.079,0,pmmn,3.359,,4.606,3.359,,4.606,-4.742,-6.422,,-8.101,-30.942,0.0,0.0,AB2,3.244
Cd4Cl8,0.039,-1.078,0,pbma,3.474,,4.827,3.474,,4.827,-4.411,-6.148,,-7.884,-30.93,0.0,0.0,AB2,2.54
Cr2Cu2P4S12,0.0,-0.374,1,p2_111,1.078,,2.607,1.09,,2.607,-4.787,-5.326,,-5.865,-104.039,0.119,0.123,ABC2D6,2.01
Co4S8,0.071,-0.317,0,p-1,0.322,,0.618,0.383,,0.781,-5.61,-5.771,,-5.932,-69.34,0.0,0.0,AB2,3.685
Cu4F8,0.0,-1.606,1,pmma,0.383,,2.682,0.603,,2.703,-6.965,-7.157,,-7.348,-46.67,-0.258,-0.614,AB2,2.979
Ge4As8,0.006,-0.047,0,pm2_1b,1.186,,1.729,1.201,,1.751,-3.967,-4.56,,-5.153,-55.927,0.0,0.0,AB2,1.981
Ge4P8,0.002,0.002,0,pm2_1b,1.333,,2.044,1.336,,2.068,-4.289,-4.955,,-5.622,-60.954,0.0,0.0,AB2,1.997
Sb8Ge4,0.051,0.051,0,pm2_1b,0.942,,1.333,0.983,,1.393,-3.718,-4.189,,-4.66,-52.697,0.0,0.0,AB2,2.087
Hg4I8,0.0,-0.357,0,p-4m2,1.664,,2.49,1.664,,2.49,-4.501,-5.333,,-6.165,-19.648,0.0,0.0,AB2,1.329
As4P2O12H2,0.0,-1.531,0,p2_111,4.556,,5.999,4.556,,6.004,-2.452,-4.73,,-7.008,-128.137,0.0,0.0,ABC2D6,1.244
In4Cl8,0.059,-0.981,0,p-1,2.067,,2.881,2.123,,2.954,-4.846,-5.88,,-6.914,-37.107,0.0,0.0,AB2,2.384
As4P2S12H2,0.027,-0.125,0,p2_111,2.041,,3.042,2.044,,3.042,-3.882,-4.903,,-5.923,-87.473,0.0,0.0,ABC2D6,1.408
Ir4Bi8,0.036,-0.024,0,p-1,0.0,,,0.0,,,,-3.607,,,-74.787,0.0,0.0,AB2,2.257
Ir4S8,0.076,-0.381,0,p-1,0.692,,1.52,0.889,,1.695,-4.995,-5.342,,-5.688,-74.297,0.0,0.0,AB2,3.934
Sb4P2O12H2,0.0,-1.631,0,p2_111,4.217,,5.463,4.363,,5.611,-2.253,-4.362,,-6.47,-129.118,0.0,0.0,ABC2D6,1.393
Ir4Se8,0.036,-0.336,0,p-1,0.824,,1.568,0.913,,1.638,-4.41,-4.823,,-5.235,-68.996,0.0,0.0,AB2,3.988
Ir4Te8,0.066,-0.268,0,p-1,0.551,,0.898,0.591,,0.934,-4.174,-4.45,,-4.725,-65.956,0.0,0.0,AB2,4.013
Mg4Cl8,0.066,-1.821,0,pmmn,5.339,,6.753,5.358,,6.802,-3.158,-5.827,,-8.496,-42.606,0.0,0.0,AB2,3.261
Sb2As4O12H2,0.094,-1.151,0,p2_111,2.765,,4.011,2.772,,4.025,-4.148,-5.531,,-6.914,-118.622,0.0,0.0,ABC2D6,1.291
I8Mn4,0.035,-0.384,1,pmmn,0.828,,,0.828,,,-4.572,-4.986,,-5.4,-55.304,3.377,0.136,AB2,3.106
Na4O8,0.0,-0.793,1,p2_1/b11,0.0,,,0.0,,,,-4.522,,,-55.744,-0.077,-0.083,AB2,1.108
Au4V2Li2O12,0.059,-1.118,0,pm2_1n,0.525,,2.302,0.527,,2.354,-5.69,-5.952,,-6.214,-117.201,0.0,0.0,ABC2D6,1.168
Ni4Br8,0.098,-0.308,0,p2_1/b11,0.634,,2.174,0.636,,2.183,-5.086,-5.403,,-5.72,-45.366,0.0,0.0,AB2,1.383
I8Ni4,0.039,-0.091,0,p2_1/b11,0.633,,1.905,0.641,,1.965,-4.684,-5.001,,-5.317,-41.909,0.0,0.0,AB2,1.643
Re2RhCoS8,0.074,-0.43,0,p1,0.29,,0.73,0.345,,0.778,-4.942,-5.087,,-5.232,-76.482,0.0,0.0,ABC2D8,3.878
Pd4Br8,0.0,-0.375,0,p2_1/b11,1.148,,2.37,1.204,,2.468,-5.085,-5.659,,-6.233,-32.453,0.0,0.0,AB2,1.322
Pd4I8,0.0,-0.254,0,p2_1/b11,1.069,,2.017,1.104,,2.061,-4.722,-5.257,,-5.792,-30.155,0.0,0.0,AB2,1.561
Pt4Br8,0.0,-0.269,0,p2_1/b11,1.302,,2.538,1.303,,2.542,-4.435,-5.086,,-5.737,-41.316,0.0,0.0,AB2,1.336
Pt4I8,0.0,-0.168,0,p2_1/b11,1.225,,2.212,1.264,,2.274,-4.14,-4.752,,-5.364,-39.259,0.0,0.0,AB2,1.595
Re4O8,0.092,-1.434,0,p-1,1.304,,2.098,1.403,,2.244,-5.38,-6.032,,-6.684,-104.835,0.0,0.0,AB2,3.843
Re4S8,0.0,-0.593,0,p-1,1.272,,1.854,1.272,,1.854,-4.45,-5.086,,-5.722,-86.371,0.0,0.0,AB2,4.29
Re4S8,0.122,-0.471,0,p-1,0.977,,1.57,1.023,,1.591,-4.644,-5.133,,-5.621,-84.901,0.0,0.0,AB2,4.385
IrPd2NiCl8,0.071,-0.468,1,p2/m11,0.0,,,0.0,,,,-5.672,,,-44.065,0.256,0.075,ABC2D8,2.795
Re4Se8,0.0,-0.403,0,p-1,1.115,,1.621,1.116,,1.621,-3.929,-4.487,,-5.045,-79.325,0.0,0.0,AB2,4.402
Re4Te8,0.0,-0.092,0,p-1,0.817,,1.331,0.992,,1.515,-3.694,-4.103,,-4.512,-73.375,0.0,0.0,AB2,4.665
Bi8Rh4,0.023,-0.225,0,p-1,0.014,,0.01,0.091,,0.143,-3.74,-3.747,,-3.754,-68.678,0.0,0.0,AB2,2.176
Rh4S8,0.066,-0.379,0,p-1,0.597,,1.402,0.701,,1.498,-5.395,-5.694,,-5.992,-65.763,0.0,0.0,AB2,3.736
Ir2PdNiSe8,0.039,-0.285,0,p1,0.444,,1.033,0.453,,1.057,-4.708,-4.93,,-5.152,-60.895,0.0,0.0,ABC2D8,3.739
Rh4Se8,0.034,-0.404,0,p-1,0.583,,1.046,0.637,,1.105,-4.908,-5.199,,-5.49,-61.302,0.0,0.0,AB2,3.771
Ag8S4,0.002,-0.073,0,pbma,2.028,,2.973,2.028,,2.973,-3.726,-4.74,,-5.754,-39.913,0.0,0.0,AB2,2.45
PbSrS2O8,0.025,-1.827,0,cm11,3.675,,5.262,3.682,,5.285,-3.344,-5.181,,-7.019,-76.502,0.0,0.0,ABC2D8,3.454
ReIr2RhSe8,0.083,-0.313,0,p1,0.192,,0.504,0.318,,0.701,-4.529,-4.625,,-4.721,-68.98,0.0,0.0,ABC2D8,3.923
Hf2ZrTiBr8,0.001,-1.21,0,p1,0.624,,1.155,0.659,,1.227,-3.66,-3.972,,-4.284,-56.297,0.0,0.0,ABC2D8,3.695
Se4O8,0.023,-0.679,0,p2_1/b11,2.822,,3.98,2.822,,3.98,-4.268,-5.679,,-7.09,-63.076,0.0,0.0,AB2,1.487
As8Si4,0.003,-0.08,0,pm2_1b,1.422,,2.023,1.427,,2.023,-3.865,-4.576,,-5.287,-59.857,0.0,0.0,AB2,1.963
Si4P8,0.0,-0.129,0,pm2_1b,1.539,,2.298,1.539,,2.298,-4.207,-4.977,,-5.746,-66.056,0.0,0.0,AB2,1.989
Si4S8,0.01,-0.661,0,p2_1/b11,3.428,,4.553,3.585,,4.715,-3.179,-4.893,,-6.607,-62.149,0.0,0.0,AB2,1.575
Se8Si4,0.004,-0.446,0,p2_1/b11,2.64,,3.613,2.724,,3.647,-3.291,-4.611,,-5.931,-54.81,0.0,0.0,AB2,1.624
Se8Si4,0.064,-0.387,0,pm2_1b,1.023,,1.956,1.023,,1.956,-3.884,-4.395,,-4.907,-54.099,0.0,0.0,AB2,3.0
Te8Si4,0.0,-0.05,0,p2_1/b11,1.293,,1.94,1.31,,1.968,-3.71,-4.357,,-5.003,-47.837,0.0,0.0,AB2,1.719
Sn4As8,0.011,-0.03,0,pm2_1b,0.75,,1.229,0.867,,1.346,-4.253,-4.629,,-5.004,-53.884,0.0,0.0,AB2,2.046
Sn4Sb8,0.02,0.02,0,pm2_1b,0.735,,1.104,0.814,,1.232,-3.858,-4.225,,-4.593,-51.229,0.0,0.0,AB2,2.123
