Formula,Layer group,Stoichiometry,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Band gap (PBE) [eV],Band gap (HSE06) [eV],Direct band gap (PBE) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Vacuum level [eV]
Nb4Te12I2,p-1,AB2C6,0.006999999999999999,-0.3970000000000001,0.0,0.673,1.135,0.686,1.135,-4.068,-4.405,-4.741,-89.861,1.3877787807814457e-17,0.0,2.009
Ta4I2S12,p-1,AB2C6,0.093,-0.657,0.0,0.502,0.9359999999999999,0.519,0.9359999999999997,-4.646,-4.897,-5.148,-102.99100000000001,1.3877787807814457e-17,0.0,1.858
Ta4I2Se12,p-1,AB2C6,0.049,-0.575,0.0,0.635,1.014,0.635,1.014,-4.309,-4.627,-4.944,-94.361,1.3877787807814457e-17,0.0,1.911
Ta4Te12I2,p-1,AB2C6,0.003999999999999997,-0.325,0.0,0.615,1.024,0.615,1.024,-4.019,-4.327,-4.634,-86.534,1.3877787807814457e-17,0.0,2.03
Mo2As4O12,p2_111,AB2C6,0.031,-1.538,0.0,1.978,3.396,2.086,3.495,-5.472,-6.461,-7.45,-130.226,1.3877787807814457e-17,0.0,2.471
Ta8TeSe2BrCl4C3N,p1,ABCD2E3F4G8,0.087,-0.842,0.0,0.0,1.089666666666667,0.0,1.1036666666666668,-4.55,-4.067,-5.224,-150.281,1.3877787807814457e-17,0.0,5.701
TaAgGeS4Cl2,p1,ABCD2E4,0.025,-0.694,0.0,1.226,2.271,1.246,2.271,-5.132,-5.745,-6.358,-43.3,1.3877787807814457e-17,0.0,3.121
Mo2Sb4O12,p2_111,AB2C6,0.038,-1.627,0.0,1.913,3.217,2.03,3.31,-5.035,-5.992,-6.949,-130.806,1.3877787807814457e-17,0.0,2.712
I4CrMnCuS2,p1,ABCD2E4,0.097,-0.335,1.0000000000000002,0.0,0.8413333333333335,0.0,1.073,-5.28,-5.393,-5.479666666666667,-39.884,0.6519999999999999,1.855,3.0
I4Ni2O12,p2_1/b11,AB2C6,0.076,-0.20899999999999996,0.0,0.545,3.103,0.641,3.213,-4.92,-5.193,-5.465,-85.658,1.3877787807814457e-17,0.0,1.851
Ni2N4O12,p2_1/b11,AB2C6,0.011,-0.42800000000000005,0.0,0.825,3.653,0.825,3.697,-5.804,-6.216,-6.628,-117.093,1.3877787807814457e-17,0.0,1.263
