Formula,Band gap (G₀W₀) (eV),Direct band gap (G₀W₀) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),Energy above hull (eV/atom),Heat of formation (eV/atom),Magnetic,Band gap (PBE) (eV),Band gap (HSE06) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),CBM wrt. vacuum (PBE) (eV),Fermi level wrt. vacuum (PBE) (eV),VBM wrt. vacuum (PBE) (eV),Energy (eV),"Magnetic anisotropy energy, xz (meV/unit cell)","Magnetic anisotropy energy, yz (meV/unit cell)",Vacuum level (eV)
W3MoS8,,,1.532,2.064,0.0,-0.888,0.0,1.532,2.064,1.532,2.064,-4.068,-4.834,-5.6,-88.937,1.3877787807814457e-17,0.0,4.613
CdSn2Br2S2,,,2.106,2.826,0.036,-0.627,0.0,2.038,2.755,2.106,2.826,-3.364,-4.383,-5.401,-24.752,1.3877787807814457e-17,0.0,1.669
Ni4Br8,,,0.636,2.183,0.098,-0.308,0.0,0.634,2.174,0.636,2.183,-5.086,-5.403,-5.72,-45.366,1.3877787807814457e-17,0.0,1.383
Ta2Ni2Se10,,,0.0,,0.0,-0.524,0.0,0.0,1.2456666666666667,0.0,1.2456666666666667,-5.469333333333333,-5.356,-5.864333333333333,-76.286,1.3877787807814457e-17,0.0,2.146
Au4F8,,,0.424,1.482,0.013999999999999999,-0.92,0.0,0.235,1.286,0.42399999999999993,1.482,-6.736,-6.853,-6.97,-36.258,1.3877787807814457e-17,0.0,1.214
Ru3S3Cl6,,,0.457,1.131,0.028,-0.503,0.0,0.45199999999999996,1.131,0.4570000000000001,1.131,-6.48,-6.706,-6.932,-57.369,1.3877787807814457e-17,0.0,4.423
Au2I2,,,1.808,2.585,0.0,-0.09799999999999998,0.0,1.808,2.585,1.808,2.585,-2.982,-3.886,-4.79,-9.61,1.3877787807814457e-17,0.0,1.491
Ir2S2,,,0.478,0.98,0.15800000000000003,-0.19399999999999995,0.0,0.040999999999999925,0.21899999999999986,0.478,0.98,-4.796,-4.817,-4.838,-27.483,1.3877787807814457e-17,0.0,5.602
Bi4Li4O8,,,2.439,3.824,0.0,-1.525,0.0,2.375,3.784,2.439,3.824,-2.245,-3.433,-4.62,-91.655,1.3877787807814457e-17,0.0,2.02
Sr2Ag2Br6,,,3.123,4.414,0.015,-1.427,0.0,3.123,4.414,3.123,4.414,-3.694,-5.255,-6.817,-32.808,1.3877787807814457e-17,0.0,2.769
Co2Br2S2,,,0.0,0.428,0.0,-0.447,0.0,0.0,0.42799999999999994,0.0,0.42799999999999994,-5.830333333333334,-5.688,-5.867999999999999,-30.464999999999996,1.3877787807814457e-17,0.0,3.932
Ta2Co4Se2S2,,,0.0,,0.019000000000000003,-0.58,0.0,0.0,0.08899999999999997,0.0,0.11433333333333362,-4.551666666666667,-4.873,-4.597333333333333,-73.466,1.3877787807814457e-17,0.0,2.983
V2CF2,,,0.0,,0.079,-1.724,0.0,0.0,1.2403333333333335,0.0,1.7750000000000001,-5.325333333333333,-5.383,-5.625666666666667,-38.059,1.3877787807814457e-17,0.0,4.581
Cu2Br6Mg2,,,2.476,4.596,0.017999999999999995,-1.023,0.0,2.476,4.596,2.476,4.596,-3.196,-4.434,-5.673,-30.326,1.3877787807814457e-17,0.0,2.935
AgI2Cu,,,1.912,3.375,0.02,-0.19799999999999995,0.0,1.911,3.375,1.912,3.375,-3.239,-4.195,-5.15,-10.263999999999996,1.3877787807814457e-17,0.0,2.97
