Formula,Band gap (G₀W₀) (eV),Direct band gap (G₀W₀) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),Energy above hull (eV/atom),Heat of formation (eV/atom),Magnetic,Band gap (PBE) (eV),Band gap (HSE06) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),CBM wrt. vacuum (PBE) (eV),Fermi level wrt. vacuum (PBE) (eV),VBM wrt. vacuum (PBE) (eV),Energy (eV),"Magnetic anisotropy energy, xz (meV/unit cell)","Magnetic anisotropy energy, yz (meV/unit cell)",Vacuum level (eV)
OsRuCl6,,,0.276,1.196,0.03,-0.444,0.0,0.274,1.196,0.276,1.196,-5.276,-5.413,-5.55,-34.92,1.3877787807814457e-17,0.0,3.252
V2S2N,,,0.0,,0.047,-0.942,0.0,0.0,0.9946666666666666,0.0,1.3316666666666668,-4.822666666666667,-5.373,-5.104333333333333,-38.268,1.3877787807814457e-17,0.0,5.947
Sn2Sb2S6C2H6,,,1.749,2.563,0.088,-0.17500000000000004,0.0,1.627,2.426,1.749,2.563,-3.442,-4.255,-5.069,-82.937,1.3877787807814457e-17,0.0,1.479
Cu3Cl3,,,1.585,3.609,0.058,-0.394,0.0,1.296,3.284,1.585,3.609,-3.859,-4.507,-5.155,-18.745,1.3877787807814457e-17,0.0,2.058
Se2Al2,,,2.584,3.36,0.032,-0.685,0.0,1.642,2.356,2.584,3.36,-3.516,-4.337,-5.158,-17.183000000000003,1.3877787807814457e-17,0.0,1.464
Rh2I6,,,1.018,2.024,0.0,-0.313,0.0,0.991,1.965,1.018,2.024,-4.373,-4.869,-5.364,-25.669,1.3877787807814457e-17,0.0,3.394
OsMoCl6,,,0.853,2.044,0.047,-0.647,1.0000000000000002,0.819,2.009,0.853,2.044,-4.553,-4.962,-5.371,-38.277,-0.5330000000000001,-1.161,3.279
Nb4S12Cl2,,,0.405,0.865,0.035,-0.812,0.0,0.391,0.865,0.40500000000000014,0.865,-4.851,-5.047,-5.243,-108.436,1.3877787807814457e-17,0.0,1.732
ReCu2F6,,,0.974,,0.0,-1.673,1.0000000000000002,0.872,1.8376666666666666,0.974,1.9793333333333334,-4.422,-4.857,-5.293,-43.583,5.298,-6.283,2.081
Au4Se4O12,,,0.268,0.685,0.064,-0.399,0.0,0.268,0.685,0.268,0.6850000000000003,-4.96,-5.094,-5.228,-95.929,1.3877787807814457e-17,0.0,1.118
W2V2S8,,,0.0,,0.013999999999999999,-0.862,0.0,0.0,0.31433333333333335,0.0,0.41033333333333344,-5.417666666666667,-5.873,-5.546333333333333,-82.992,1.3877787807814457e-17,0.0,4.305
Rh2As2O6,,,0.934,2.77,0.089,-0.904,0.0,0.857,2.726,0.934,2.77,-3.829,-4.258,-4.686,-63.402,1.3877787807814457e-17,0.0,3.334
I6Cr2,,,0.891,2.091,0.0,-0.46399999999999997,1.0000000000000002,0.891,2.091,0.891,2.091,-4.563,-5.009,-5.454,-31.399,-1.7079999999999997,-1.705,3.262
BiISe,1.772,1.888,0.771,1.403,0.0,-0.443,0.0,0.607,1.216,0.771,1.403,-5.401,-5.705,-6.009,-10.963999999999999,1.3877787807814457e-17,0.0,3.302
CdSn2I2O2,,,1.968,2.764,0.06,-0.954,0.0,1.968,2.764,1.968,2.764,-3.378,-4.362,-5.345,-28.925,1.3877787807814457e-17,0.0,2.03
IGa2Cl,,,1.84,2.436,0.062,-0.511,0.0,1.84,2.436,1.84,2.436,-2.817,-3.737,-4.657,-11.113,1.3877787807814457e-17,0.0,2.384
In4Br4,,,1.824,2.35,0.064,-0.631,0.0,1.824,2.35,1.824,2.35,-3.361,-4.273,-5.185,-22.44,1.3877787807814457e-17,0.0,2.032
Pb2P2S6C2H6,,,2.246,3.221,0.0,-0.33799999999999997,0.0,2.11,3.079,2.246,3.221,-3.407,-4.462,-5.517,-87.181,1.3877787807814457e-17,0.0,1.631
Ge2Se2Al2,,,0.617,1.24,0.0,-0.493,0.0,0.617,1.24,0.617,1.24,-3.753,-4.062,-4.37,-26.432,1.3877787807814457e-17,0.0,2.764
OsPtIBr5,,,0.34,0.9,0.0,-0.16000000000000003,0.0,0.31900000000000006,0.8519999999999999,0.3400000000000001,0.8999999999999999,-4.802,-4.962,-5.121,-28.226,1.3877787807814457e-17,0.0,3.039
Ti2Se4Br4,,,0.918,2.303,0.038,-0.924,0.0,0.883,2.268,0.918,2.303,-4.871,-5.312,-5.754,-42.885,1.3877787807814457e-17,0.0,3.177
Hf2S6,,,1.157,2.109,0.0,-1.209,0.0,1.157,2.109,1.157,2.109,-4.825,-5.404,-5.982,-49.149,1.3877787807814457e-17,0.0,5.001
I2Ni5Ga,,,0.0,,0.089,-0.1329999999999999,0.0,0.0,0.6343333333333334,0.0,0.6973333333333334,-4.232,-3.891,-4.466333333333333,-43.157,1.3877787807814457e-17,0.0,4.818
BiAgTe6P2,,,0.401,1.075,0.081,0.010000000000000009,0.0,0.401,1.075,0.401,1.075,-4.487,-4.687,-4.887,-37.375,1.3877787807814457e-17,0.0,2.1
ReAg2I6,,,0.17,1.405,0.08,-0.06499999999999995,1.0000000000000002,0.16900000000000004,1.376,0.16999999999999993,1.405,-5.311,-5.395,-5.48,-26.794,3.344,3.461,3.341
Au2Rb2S2,,,1.211,1.778,0.096,-0.691,0.0,1.211,1.778,1.211,1.778,-1.6219999999999999,-2.227,-2.833,-20.381,1.3877787807814457e-17,0.0,2.246
K2Se2MgS8H4,,,1.957,2.966,0.084,-0.404,0.0,1.957,2.966,1.957,2.966,-3.269,-4.247,-5.226,-63.81,1.3877787807814457e-17,0.0,1.522
Y2I6,,,2.962,4.122,0.0010000000000000009,-1.471,0.0,2.756,3.889,2.962,4.122,-3.469,-4.847,-6.225,-30.02,1.3877787807814457e-17,0.0,3.009
Ir4Se8,,,0.913,1.638,0.036,-0.336,0.0,0.824,1.568,0.913,1.638,-4.41,-4.823,-5.235,-68.996,1.3877787807814457e-17,0.0,3.988
Nb4Te8Si2,,,0.589,0.784,0.0020000000000000018,-0.518,0.0,0.521,0.722,0.589,0.784,-4.091,-4.351,-4.611,-84.996,1.3877787807814457e-17,0.0,2.506
Au2Se4Cl2,,,0.915,1.608,0.079,-0.11299999999999999,0.0,0.883,1.586,0.915,1.608,-5.006,-5.448,-5.889,-24.664,1.3877787807814457e-17,0.0,2.588
Au4Se4,,,1.332,1.991,0.0,-0.123,0.0,0.58,1.1,1.332,1.991,-4.618,-4.908,-5.198,-27.435,1.3877787807814457e-17,0.0,3.594
Hg2Bi2Br2O4,,,2.395,3.519,0.017999999999999995,-0.849,0.0,2.395,3.519,2.395,3.519,-4.006,-5.204,-6.401,-43.276,1.3877787807814457e-17,0.0,1.757
Pd2F6,,,0.439,1.794,0.04,-1.326,0.0,0.42500000000000004,1.794,0.43900000000000006,1.794,-8.063,-8.276,-8.488,-27.77,1.3877787807814457e-17,0.0,2.232
I16Be8,,,4.348,,0.032,-0.563,0.0,4.348,4.900666666666666,4.348,4.904333333333334,-1.685,-3.859,-6.033,-66.785,1.3877787807814457e-17,0.0,2.546
Te6Al4,,,1.039,1.587,0.047,-0.404,0.0,1.005,1.529,1.039,1.587,-4.302,-4.804,-5.306,-38.223,1.3877787807814457e-17,0.0,2.791
Bi2TeSe2,,,0.111,,0.034,-0.31,0.0,0.11099999999999999,0.5550000000000004,0.11100000000000021,0.5550000000000002,-5.643,-5.698,-5.754,-21.066,1.3877787807814457e-17,0.0,4.844
IBrAl2S2,,,1.237,2.198,0.02,-0.987,0.0,1.233,2.192,1.237,2.198,-4.211,-4.827,-5.444,-24.619,1.3877787807814457e-17,0.0,3.074
HfGeBr2S2,,,0.85,1.617,0.063,-1.037,0.0,0.728,1.4339999999999997,0.85,1.617,-4.879,-5.243,-5.606,-29.568,1.3877787807814457e-17,0.0,3.719
TeIV,,,0.578,0.85,0.133,-0.273,0.0,0.5779999999999998,0.8500000000000001,0.578,0.8500000000000001,-3.711,-3.999,-4.288,-14.025999999999996,1.3877787807814457e-17,0.0,2.35
Ta2Te6Fe2,,,0.0,,0.024,-0.276,1.0000000000000002,0.0,0.5230000000000001,0.0,0.5263333333333333,-4.576333333333333,-4.698,-4.661666666666667,-59.706,1.545,-2.25,2.421
AgTe6VAs2,,,0.426,1.211,0.074,-0.05300000000000016,1.0000000000000002,0.2909999999999999,0.9180000000000001,0.42599999999999993,1.211,-4.531,-4.676,-4.822,-40.453,-0.728,-1.156,2.017
HgCl2,,,2.468,3.708,0.033,-0.624,0.0,2.468,3.708,2.468,3.708,-5.224,-6.458,-7.691,-6.3260000000000005,1.3877787807814457e-17,0.0,2.29
Sr2I4S4H8,,,4.053,5.002,0.0,-0.71,0.0,4.042,4.991,4.053,5.002,-2.328,-4.349,-6.369,-64.943,1.3877787807814457e-17,0.0,1.488
Re2PdO8,,,0.955,2.816,0.0,-1.42,1.0000000000000002,0.88,2.78,0.9549999999999998,2.816,-6.658,-7.098,-7.538,-83.752,-1.355,-1.379,1.69
In2I2S2,,,0.969,1.828,0.012999999999999998,-0.549,0.0,0.969,1.828,0.969,1.828,-4.829,-5.314,-5.798,-19.932,1.3877787807814457e-17,0.0,2.196
PbS2,,,1.39,2.299,0.191,-0.18700000000000006,0.0,1.39,2.299,1.39,2.299,-3.979,-4.674,-5.369,-12.477000000000004,1.3877787807814457e-17,0.0,2.323
Sc2Br6,,,3.117,4.988,0.0,-1.779,0.0,2.9750000000000005,4.822,3.117,4.988,-4.172,-5.659,-7.147,-33.061,1.3877787807814457e-17,0.0,2.713
Pb2I4,,,1.771,2.459,0.073,-0.619,0.0,1.701,2.385,1.771,2.459,-4.258,-5.109,-5.959,-17.145,1.3877787807814457e-17,0.0,1.346
Cd2Cl2,,,2.7,3.47,0.041,-0.797,0.0,1.675,2.31,2.7,3.47,-4.633,-5.47,-6.307,-8.612000000000002,1.3877787807814457e-17,0.0,3.873
Mo2Cl4O4,,,2.392,3.902,0.0,-1.545,0.0,2.369,3.8809999999999993,2.392,3.902,-5.736,-6.921,-8.105,-65.487,1.3877787807814457e-17,0.0,1.649
Cr2Cl2F2,,,1.216,3.822,0.13,-1.612,1.0000000000000002,1.057,3.731,1.216,3.822,-4.25,-4.778,-5.307,-35.233,0.32499999999999996,-0.43400000000000005,3.463
Hg2Br6Li2,,,2.19,3.191,0.065,-0.879,0.0,2.19,3.191,2.19,3.191,-4.388,-5.483,-6.578,-23.852,1.3877787807814457e-17,0.0,2.626
Nb3Cl7O,,,0.86,1.594,0.053,-1.486,0.0,0.86,1.594,0.86,1.594,-4.927,-5.357,-5.788,-64.941,1.3877787807814457e-17,0.0,1.865
Ga2Se6Al2,,,2.034,2.808,0.012,-0.713,0.0,1.97,2.729,2.034,2.808,-4.093,-5.078,-6.063,-41.311,1.3877787807814457e-17,0.0,2.705
Sr2Sb4O8,,,3.424,4.559,0.0,-1.927,0.0,3.237,4.358,3.424,4.559,-2.056,-3.674,-5.293,-88.943,1.3877787807814457e-17,0.0,2.342
Ba2Br2H2,,,3.849,4.947,0.041,-1.439,0.0,3.677,4.78,3.8490000000000006,4.947,-2.559,-4.397,-6.236,-22.111,1.3877787807814457e-17,0.0,2.227
SnIGe2As2Se2SCl5,,,0.852,1.388,0.083,-0.497,0.0,0.668,1.198,0.852,1.388,-5.608,-5.942,-6.276,-50.814,1.3877787807814457e-17,0.0,3.738
PtNb2S6,,,0.0,,0.0,-0.885,0.0,0.0,0.5676666666666668,0.0,0.5676666666666668,-5.047,-5.554,-5.415,-59.439,1.3877787807814457e-17,0.0,2.145
Na2P2Be2,,,0.597,1.061,0.0,-0.404,0.0,0.597,1.061,0.597,1.061,-1.2889999999999997,-1.5869999999999997,-1.8860000000000001,-23.171,1.3877787807814457e-17,0.0,2.179
Ti2Se4Cl4,,,0.958,2.376,0.048,-1.096,0.0,0.8940000000000001,2.325,0.958,2.376,-4.875,-5.322,-5.769,-45.416,1.3877787807814457e-17,0.0,3.195
MnGaBr4Cl2,,,0.469,1.892,0.012,-0.83,1.0000000000000002,0.42599999999999993,1.832,0.46899999999999986,1.892,-5.898,-6.111,-6.324,-29.171,-0.22200000000000003,-0.626,2.749
Ag2Mn2Cl6,,,2.121,3.95,0.0,-0.814,1.0000000000000002,1.991,3.95,2.121,3.95,-3.828,-4.824,-5.82,-43.963,0.167,0.166,2.944
I2Mg,5.744,6.06,3.602,4.554,0.0010000000000000009,-1.08,0.0,3.273,4.201,3.6019999999999994,4.554,-2.801,-4.437,-6.074,-7.814999999999998,1.3877787807814457e-17,0.0,3.194
Ag4Br4S4H4,,,0.354,0.576,0.069,-0.17300000000000004,0.0,0.279,0.47,0.354,0.5760000000000001,-5.887,-6.027,-6.167,-50.069,1.3877787807814457e-17,0.0,1.635
SrCa2Br2S2,,,3.63,4.806,0.042,-2.134,0.0,3.106,4.244,3.63,4.806,-3.872,-5.425,-6.978,-31.96,1.3877787807814457e-17,0.0,4.947
Ba2AgCl2O2,,,0.0,,0.0,-1.953,0.0,0.0,1.2013333333333331,0.0,1.23,-4.969333333333333,-5.236,-5.63,-33.989,1.3877787807814457e-17,0.0,4.522
Ge2P2S6H2,,,2.638,3.556,0.042,-0.20399999999999996,0.0,2.464,3.389,2.638,3.556,-3.291,-4.523,-5.755,-53.322,1.3877787807814457e-17,0.0,1.477
Se2Al2P2S4,,,2.384,3.366,0.066,-0.529,0.0,2.236,3.164,2.384,3.366,-3.838,-4.956,-6.074,-46.772,1.3877787807814457e-17,0.0,3.152
I6Mn2Cu2,,,1.168,3.783,0.013999999999999999,-0.304,1.0000000000000002,0.947,3.52,1.168,3.783,-4.159,-4.632,-5.106,-38.693,0.6239999999999999,0.625,3.369
Hg2Te2Cu2Cl2,,,0.905,2.058,0.025,-0.332,0.0,0.897,2.058,0.905,2.058,-4.085,-4.534,-4.982,-21.76,1.3877787807814457e-17,0.0,1.553
Zr2NF2,,,0.0,,0.082,-2.592,0.0,0.0,1.078,0.0,1.3436666666666666,-4.148666666666667,-3.54,-4.692666666666667,-39.29,1.3877787807814457e-17,0.0,4.764
In2Se2Cl2,,,1.067,1.747,0.058,-0.757,0.0,1.067,1.747,1.067,1.747,-5.159,-5.692,-6.226,-20.605,1.3877787807814457e-17,0.0,3.421
CrOFH,,,0.522,1.53,0.187,-1.558,1.0000000000000002,0.43599999999999994,1.53,0.522,1.53,-3.072,-3.29,-3.508,-25.675,-0.247,0.143,1.062
Bi2S4H2,,,1.119,1.752,0.005999999999999998,-0.292,0.0,0.962,1.581,1.119,1.752,-4.926,-5.407,-5.888,-34.642,1.3877787807814457e-17,0.0,3.279
W2Te4,,,0.0,0.17,0.0,-0.136,0.0,0.0,0.04400000000000004,0.0,0.16999999999999993,-4.617,-4.38,-4.996,-36.604,1.3877787807814457e-17,0.0,4.751
VSe2,0.179,0.779,0.678,1.035,0.0,-0.708,1.0000000000000002,0.248,0.9769999999999999,0.678,1.035,-5.31,-5.434,-5.557,-17.614,0.606,0.606,4.135
Au4S4Cl4F4,,,1.015,1.638,0.074,-0.587,0.0,0.921,1.54,1.015,1.638,-5.793,-6.254,-6.715,-51.715,1.3877787807814457e-17,0.0,1.686
Sb2Ge2S6C2H6,,,1.591,2.426,0.093,-0.1329999999999999,0.0,1.549,2.386,1.591,2.426,-3.433,-4.208,-4.982,-83.093,1.3877787807814457e-17,0.0,1.387
HfFeH6,,,1.741,3.294,0.055,-0.139,0.0,1.741,3.294,1.741,3.294,-3.502,-4.372,-5.242,-37.605,1.3877787807814457e-17,0.0,1.948
Zn2Se6P2,,,1.496,2.392,0.023,-0.29699999999999993,0.0,1.307,2.222,1.496,2.392,-4.223,-4.877,-5.53,-36.966,1.3877787807814457e-17,0.0,3.676
Mo2Zn2O8,,,3.062,4.948,0.054,-1.845,0.0,2.915,4.853,3.0619999999999994,4.948,-4.693,-6.151,-7.608,-87.906,1.3877787807814457e-17,0.0,2.059
Pb2S2,2.225,2.226,1.163,1.806,0.054,-0.514,0.0,1.162,1.806,1.163,1.806,-3.346,-3.927,-4.508,-17.73,1.3877787807814457e-17,0.0,3.387
Ta4Ge2Se8,,,0.293,0.419,0.028,-0.697,0.0,0.17599999999999993,0.19700000000000006,0.2929999999999999,0.41900000000000004,-4.38,-4.468,-4.555,-85.912,1.3877787807814457e-17,0.0,2.336
Sb4I4Co2O6,,,0.832,3.414,0.025,-0.9,1.0000000000000002,0.801,3.324,0.832,3.414,-4.457,-4.857,-5.257,-85.148,0.688,0.133,2.319
W2Zn2O8,,,3.514,5.375,0.021,-1.98,0.0,3.37,5.335,3.514,5.375,-4.242,-5.927,-7.612,-90.088,1.3877787807814457e-17,0.0,2.101
Zr2Se10,,,0.304,0.243,0.0,-0.727,0.0,0.30400000000000005,0.24299999999999988,0.30400000000000005,0.24299999999999988,-4.869,-5.021,-5.173,-58.362,1.3877787807814457e-17,0.0,2.003
Pb2CdI2O2,,,2.153,3.14,0.0,-0.973,0.0,2.153,3.104,2.153,3.14,-3.334,-4.411,-5.487,-28.462,1.3877787807814457e-17,0.0,2.066
I2Cu2P4S3,,,1.135,2.694,0.038,-0.14100000000000001,0.0,1.131,2.692,1.135,2.694,-4.142,-4.707,-5.273,-45.555,1.3877787807814457e-17,0.0,1.707
Sb2Mn2Br2S4,,,0.374,1.646,0.096,-0.41900000000000004,1.0000000000000002,0.37,1.63,0.374,1.646,-4.287,-4.472,-4.657,-51.913,0.415,1.504,1.611
Nb2Se4Br4,,,1.101,1.868,0.0,-0.804,0.0,1.096,1.866,1.101,1.868,-4.144,-4.692,-5.24,-48.958,1.3877787807814457e-17,0.0,1.885
Ta2Se4Cl4,,,0.939,1.647,0.051,-0.921,0.0,0.939,1.6470000000000002,0.9390000000000001,1.6470000000000002,-4.079,-4.548,-5.018,-49.911,1.3877787807814457e-17,0.0,1.939
Cr2Cu2P4S12,,,1.09,2.607,0.0,-0.37400000000000005,1.0000000000000002,1.078,2.607,1.09,2.607,-4.787,-5.326,-5.865,-104.03900000000002,0.119,0.123,2.01
Mo2As4O12,,,2.086,3.495,0.031,-1.538,0.0,1.978,3.396,2.086,3.495,-5.472,-6.461,-7.45,-130.226,1.3877787807814457e-17,0.0,2.471
Ti2Cl6,,,0.121,,0.071,-1.564,1.0000000000000002,0.121,1.8783333333333334,0.121,1.8986666666666667,-4.934,-4.995,-5.055,-36.604,-0.064,-0.06399999999999999,2.858
K2GeS6H6,,,2.336,3.388,0.045,-0.443,0.0,2.31,3.373,2.336,3.388,-3.249,-4.404,-5.559,-58.021,1.3877787807814457e-17,0.0,1.0670000000000002
Ir4Se8,,,0.913,1.638,0.036,-0.336,0.0,0.824,1.568,0.913,1.638,-4.41,-4.823,-5.235,-68.996,1.3877787807814457e-17,0.0,3.988
I8Zn4,,,2.392,3.369,0.0,-0.616,0.0,2.392,3.369,2.392,3.369,-3.454,-4.65,-5.846,-23.954,1.3877787807814457e-17,0.0,2.867
Ni2Se2O6,,,0.703,3.04,0.0020000000000000018,-0.734,0.0,0.555,2.815,0.7030000000000001,3.04,-4.224,-4.501,-4.779,-59.548,1.3877787807814457e-17,0.0,1.523
Te2Sc2Br2,,,0.63,1.742,0.012,-1.464,0.0,0.552,1.617,0.63,1.742,-4.486,-4.762,-5.038,-27.685,1.3877787807814457e-17,0.0,3.447
Co2As4Br4O6,,,0.854,3.781,0.046,-0.858,1.0000000000000002,0.801,3.781,0.854,3.781,-4.837,-5.238,-5.638,-85.927,0.0030000000000000027,-0.595,1.975
YSeBr,,,3.266,4.382,0.0,-1.886,0.0,3.045,4.122,3.266,4.382,-3.568,-5.09,-6.613,-15.416000000000004,1.3877787807814457e-17,0.0,3.24
Ni4Br8,,,0.636,2.183,0.098,-0.308,0.0,0.634,2.174,0.636,2.183,-5.086,-5.403,-5.72,-45.366,1.3877787807814457e-17,0.0,1.383
TaNiSe4,,,0.0,,0.097,-0.502,1.0000000000000002,0.0,0.8839999999999999,0.0,1.108,-4.869666666666667,-4.909,-4.9990000000000006,-34.006,-0.126,0.169,3.885
Sb2Co2Se6,,,0.235,0.022,0.076,-0.21099999999999997,0.0,0.235,0.021999999999999797,0.23499999999999988,0.021999999999999797,-4.694,-4.811,-4.929,-48.273,1.3877787807814457e-17,0.0,3.799
Mn5ZnGe2S12,,,0.0,,0.067,-0.469,1.0000000000000002,0.0,1.643,0.0,1.6706666666666665,-5.134333333333333,-5.54,-5.456333333333333,-117.113,-0.13299999999999998,-0.22100000000000003,4.764
Ta4Co2Se10,,,0.0,,0.0,-0.745,1.0000000000000002,0.0,3.3609999999999998,0.0,3.4210000000000003,-4.452,-5.067,-5.262333333333333,-102.476,0.139,0.243,2.263
Sn2P2S6C2H6,,,2.534,3.374,0.0,-0.308,0.0,2.463,3.301,2.534,3.374,-2.85,-4.081,-5.313,-87.231,1.3877787807814457e-17,0.0,1.529
Nb2Te2Co4Se2,,,0.0,,0.0,-0.449,0.0,0.0,0.061666666666666536,0.0,0.07266666666666666,-4.399333333333333,-4.475,-4.445666666666666,-71.436,1.3877787807814457e-17,0.0,3.104
Pt4Tl2S6,,,1.526,2.343,0.025,-0.459,0.0,1.253,2.074,1.526,2.343,-3.596,-4.222,-4.849,-60.392,1.3877787807814457e-17,0.0,1.828
AuInF4,,,1.972,3.441,0.079,-1.911,0.0,1.053,2.106,1.972,3.441,-5.241,-5.767,-6.294,-23.704,1.3877787807814457e-17,0.0,2.171
In2Te2Cl2,,,1.885,2.622,0.006999999999999999,-0.698,0.0,1.858,2.622,1.885,2.622,-4.794,-5.723,-6.652,-19.691,1.3877787807814457e-17,0.0,1.901
YI2,,,0.688,1.209,0.0030000000000000027,-1.305,1.0000000000000002,0.1419999999999999,0.5440000000000003,0.688,1.209,-3.512,-3.583,-3.654,-11.564999999999998,0.6339999999999999,0.634,3.811
In4Br4O4,,,1.028,2.115,0.053,-1.242,0.0,1.028,2.115,1.028,2.115,-5.876,-6.39,-6.904,-52.791,1.3877787807814457e-17,0.0,3.697
Zr2CO2,,,1.812,2.873,0.172,-2.288,0.0,0.95,1.729,1.812,2.873,-4.341,-4.817,-5.292,-45.712,1.3877787807814457e-17,0.0,4.867
Hg2Br6Na2,,,2.291,3.358,0.037,-0.923,0.0,2.291,3.358,2.291,3.358,-4.544,-5.689,-6.835,-23.127,1.3877787807814457e-17,0.0,2.522
I6Sc8Se4SCl,,,0.0,,0.0,-1.523,0.0,0.0,0.8359999999999999,0.0,0.8393333333333333,-4.1786666666666665,-3.989,-4.590333333333334,-96.404,1.3877787807814457e-17,0.0,4.789
Ti2Se4Cl4,,,0.958,2.376,0.048,-1.096,0.0,0.8940000000000001,2.325,0.958,2.376,-4.875,-5.322,-5.769,-45.416,1.3877787807814457e-17,0.0,3.195
Bi4Sr2S8,,,0.492,0.756,0.073,-0.808,0.0,0.45599999999999996,0.756,0.492,0.756,-4.812,-5.039,-5.267,-65.988,1.3877787807814457e-17,0.0,3.267
In2VSe4,,,0.0,,0.043,-0.568,1.0000000000000002,0.0,1.5043333333333333,0.0,1.5043333333333333,-4.350666666666667,-4.343,-4.469666666666667,-31.957,0.389,0.389,3.259
Ag2Cd2Te2Cl2,,,1.293,2.153,0.085,-0.476,0.0,1.293,2.153,1.293,2.153,-3.975,-4.621,-5.268,-21.319,1.3877787807814457e-17,0.0,1.498
Sb4S8Li4,,,1.963,2.811,0.017,-0.665,0.0,1.707,2.535,1.963,2.811,-3.533,-4.386,-5.239,-68.447,1.3877787807814457e-17,0.0,2.271
As2Al2S6,,,1.392,2.033,0.087,-0.518,0.0,1.139,1.783,1.392,2.033,-4.379,-4.948,-5.518,-46.454,1.3877787807814457e-17,0.0,3.556
In2Te2I2,,,1.291,2.054,0.0049999999999999975,-0.44599999999999995,0.0,1.291,2.054,1.291,2.054,-4.552,-5.197,-5.843,-17.565999999999995,1.3877787807814457e-17,0.0,2.093
Ta2Rh2Te8,,,0.076,0.001,0.0,-0.444,0.0,0.07600000000000007,0.0009999999999998899,0.07600000000000007,0.0009999999999998899,-4.372,-4.41,-4.448,-64.89,1.3877787807814457e-17,0.0,2.343
In6I6,,,1.445,1.938,0.058,-0.429,0.0,1.445,1.938,1.445,1.938,-3.571,-4.293,-5.016,-30.598,1.3877787807814457e-17,0.0,2.939
Hf2Te6,,,0.0,,0.024,-0.619,0.0,0.0,0.9383333333333335,0.0,1.3146666666666667,-4.810333333333333,-4.818,-5.0776666666666666,-39.191,1.3877787807814457e-17,0.0,5.323
Pt2Se6,,,0.0,,0.18,-0.13,0.0,0.0,0.4139999999999997,0.0,0.5323333333333331,-4.117666666666667,-4.838,-4.3533333333333335,-34.643,1.3877787807814457e-17,0.0,4.395
Ni4Se4P4,,,0.683,2.231,0.026,-0.304,0.0,0.628,2.021,0.683,2.231,-4.604,-4.918,-5.232,-68.025,1.3877787807814457e-17,0.0,2.29
Ti2Br4,,,0.385,0.885,0.0,-1.178,0.0,0.28800000000000003,0.817,0.385,0.885,-4.105,-4.249,-4.392,-26.787,1.3877787807814457e-17,0.0,3.636
SbSeBr,2.572,2.903,1.786,2.438,0.124,-0.31999999999999995,0.0,1.464,2.037,1.786,2.438,-4.662,-5.393,-6.125,-10.435000000000002,1.3877787807814457e-17,0.0,3.563
GeNa2S6H6,,,2.284,3.327,0.058,-0.398,0.0,2.274,3.318,2.284,3.327,-3.31,-4.447,-5.584,-57.509,1.3877787807814457e-17,0.0,1.091
W2I6,,,0.451,1.31,0.0010000000000000009,0.0010000000000000009,1.0000000000000002,0.376,1.31,0.45100000000000007,1.31,-4.095,-4.282,-4.47,-31.83,1.406,2.16,2.087
I2Cu2Se3P4,,,0.894,2.305,0.03,-0.08799999999999997,0.0,0.879,2.302,0.894,2.305,-4.281,-4.721,-5.16,-43.184,1.3877787807814457e-17,0.0,1.672
Te2Cu4O12,,,0.466,1.781,0.088,-0.581,0.0,0.44899999999999995,1.738,0.46599999999999997,1.7810000000000001,-7.471,-7.696,-7.92,-93.071,1.3877787807814457e-17,0.0,1.53
VSe4Al2,,,0.0,1.43,0.035,-0.762,1.0000000000000002,0.0,1.197,0.0,1.43,-3.5136666666666665,-3.65,-3.578333333333333,-35.266,0.246,0.246,3.098
Sn2As2S6C2H6,,,1.897,2.75,0.052,-0.18599999999999994,0.0,1.881,2.724,1.897,2.75,-3.317,-4.258,-5.198,-83.632,1.3877787807814457e-17,0.0,1.487
Ba2I2CuS2,,,0.0,,0.006999999999999999,-1.451,0.0,0.0,0.994,0.0,0.994,-5.153333333333333,-5.205,-5.37,-28.602,1.3877787807814457e-17,0.0,4.95
Cd2Cu2Br2S2,,,0.944,2.575,0.06,-0.51,0.0,0.944,2.573,0.944,2.575,-4.182,-4.654,-5.126,-24.613,1.3877787807814457e-17,0.0,1.589
Te6Ga2Ge2,,,0.338,0.75,0.074,-0.132,0.0,0.3380000000000001,0.7430000000000001,0.3380000000000001,0.75,-4.523,-4.692,-4.861,-35.385,1.3877787807814457e-17,0.0,2.068
HfZrPd2I4S4,,,0.951,1.925,0.063,-0.86,0.0,0.951,1.925,0.9509999999999998,1.925,-4.675,-5.15,-5.626,-55.094,1.3877787807814457e-17,0.0,3.577
AuAgBr4,,,0.806,2.032,0.0,-0.263,0.0,0.547,1.735,0.806,2.032,-5.662,-5.936,-6.21,-13.887,1.3877787807814457e-17,0.0,2.41
Cu4Se4Br4,,,0.868,1.434,0.0,-0.261,0.0,0.831,1.419,0.868,1.434,-5.651,-6.066,-6.482,-38.109,1.3877787807814457e-17,0.0,1.799
In2Se2O8H2,,,4.069,5.539,0.0,-1.176,0.0,4.027000000000001,5.487,4.069,5.539,-2.778,-4.791,-6.805,-76.592,1.3877787807814457e-17,0.0,1.58
Hg2Cu2Se2Br2,,,0.812,2.253,0.025,-0.3,0.0,0.812,2.253,0.812,2.253,-4.521,-4.926,-5.332,-21.66,1.3877787807814457e-17,0.0,1.596
