Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Layer group,Direct band gap (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],Energy [eV],Band gap (HSE06) [eV],Band gap (PBE) [eV]
Nb2S2C,0.003,-0.946,p-3m1,0,-5.635,-42.76,,0
Nb2Se2C,0,-0.837,p-3m1,0,-5.018,-41.021,,0
Nb2Te2C,0,-0.558,p-3m1,0,-4.431,-39.07,,0
Ta2CO2,0.113,-1.766,p-3m1,0,-5.522,-47.93,,0
Ti2CO2,0.112,-2.061,p-3m1,0.64,-5.662,-43.153,1.295,0.325
V2CO2,0.185,-1.437,p-3m1,0,-6.645,-43.701,,0
Zr2CO2,0.172,-2.288,p-3m1,1.812,-4.817,-45.712,1.729,0.95
Ta2S2C,0,-0.975,p-3m1,0,-5.405,-41.881,,0
Y3C2,0.199,-0.14,p-6m2,0,-3.52,-33.215,,0
Ti2S2C,0.145,-1.06,p-3m1,0,-6.168,-36.055,,0
V2S2C,0.073,-0.739,p-3m1,0,-5.564,-38.12,,0
Zr2S2C,0.171,-1.219,p-3m1,0,-6.239,-38.278,,0
Ta2Se2C,0,-0.832,p-3m1,0,-4.855,-39.977,,0
Ti2Se2C,0.077,-0.94,p-3m1,0,-5.422,-34.266,,0
V2Se2C,0,-0.639,p-3m1,0,-4.932,-36.426,,0
Ti7SeBr3ClC2O6,0.072,-1.951,p1,0,-5.639,-145.054,,0
Zr2Se2C,0.089,-1.081,p-3m1,0,-5.748,-36.398,,0
Ta2Te2C,0,-0.507,p-3m1,0,-4.206,-37.799,,0
Te2Ti2C,0.067,-0.678,c2/m11,0,-4.399,-32.396,,0
Te2V2C,0.035,-0.35,p-3m1,0,-4.309,-34.428,,0
Nb8BrCl7C4,0,-1.024,pm11,0,-4.183,-154.047,,0
Cr2Cl4C16N8H16,0.137,-0.185,p4/nbm,0,-4.433,-302.013,,0
Cs2C2O6,0,-1.481,p2_1/m11,1.1,-5.951,-65.659,2.664,1.048
Cs2C2O6,0.007,-1.473,p2_1/m11,1.085,-6.206,-65.585,2.628,1.065
K2C2O6,0.032,-1.473,p2_1/m11,1.04,-6.431,-66.353,2.692,0.987
Rb2C2O6,0.017,-1.469,p2_1/m11,1.08,-6.192,-65.693,2.673,1.017
